"Title","Link"
"NSFnets (Navier-Stokes flow nets): Physics-informed neural networks for the incompressible Navier-Stokes equations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095728412&doi=10.1016%2fj.jcp.2020.109951&partnerID=40&md5=b1f0f4aacf50851a8620b85956d7227b"
"Fast and interpretable classification of small X-ray diffraction datasets using data augmentation and deep neural networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065837370&doi=10.1038%2fs41524-019-0196-x&partnerID=40&md5=11d56c831d532440ed75bb8b75006221"
"A physics-informed machine learning approach for solving heat transfer equation in advanced manufacturing and engineering applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103125053&doi=10.1016%2fj.engappai.2021.104232&partnerID=40&md5=d65838ffed1a2580a11885c0a2a8e7d7"
"Bilinear residual network method for solving the exactly explicit solutions of nonlinear evolution equations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123119054&doi=10.1007%2fs11071-022-07207-x&partnerID=40&md5=4734ac1a8e0ccea4646c399a205066b7"
"SympNets: Intrinsic structure-preserving symplectic networks for identifying Hamiltonian systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090040270&doi=10.1016%2fj.neunet.2020.08.017&partnerID=40&md5=594de809e1aac2783f72f60989128f29"
"When and why PINNs fail to train: A neural tangent kernel perspective","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118866669&doi=10.1016%2fj.jcp.2021.110768&partnerID=40&md5=43fed100faf6570c5722affb238a0e33"
"Machine learning for metal additive manufacturing: Towards a physics-informed data-driven paradigm","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120355687&doi=10.1016%2fj.jmsy.2021.11.003&partnerID=40&md5=4d6e6eec3cc983619fc02ab090040861"
"PhyGeoNet: Physics-informed geometry-adaptive convolutional neural networks for solving parameterized steady-state PDEs on irregular domain","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098932246&doi=10.1016%2fj.jcp.2020.110079&partnerID=40&md5=a0d62fadddffc6369bf84de796f1d43c"
"Physics-informed deep learning for incompressible laminar flows","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091895176&doi=10.1016%2fj.taml.2020.01.039&partnerID=40&md5=5c6bc35cfb959633a1dac501e6298164"
"Physics-informed probabilistic learning of linear embeddings of nonlinear dynamics with guaranteed stability","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081969969&doi=10.1137%2f19M1267246&partnerID=40&md5=4a464355277a13e2cad25896d7804394"
"Flow over an espresso cup: Inferring 3-D velocity and pressure fields from tomographic background oriented Schlieren via physics-informed neural networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103177331&doi=10.1017%2fjfm.2021.135&partnerID=40&md5=631497ffcb73b6bb3e112e5ebdedbf4c"
"Deep learning in nano-photonics: inverse design and beyond","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105261331&doi=10.1364%2fPRJ.415960&partnerID=40&md5=a3dc80b9a7863d7299ea7af89bbab94c"
"Data-driven femtosecond optical soliton excitations and parameters discovery of the high-order NLSE using the PINN","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107833483&doi=10.1007%2fs11071-021-06550-9&partnerID=40&md5=6f52d1a0ca32829b57602bdee733a3ca"
"Simulator-free solution of high-dimensional stochastic elliptic partial differential equations using deep neural networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076744828&doi=10.1016%2fj.jcp.2019.109120&partnerID=40&md5=b098dafa2cf322900a740a1388d1d34c"
"Perspectives on machine learning-augmented Reynolds-averaged and large eddy simulation models of turbulence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104131386&doi=10.1103%2fPhysRevFluids.6.050504&partnerID=40&md5=cb7d0f72f25700a15b4ad9f044e1f650"
"PHYSICS-INFORMED NEURAL NETWORKS WITH HARD CONSTRAINTS FOR INVERSE DESIGN","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123597484&doi=10.1137%2f21M1397908&partnerID=40&md5=8e9783f972511459d44c9380ea64c3f1"
"Physics-Informed Deep Learning for Computational Elastodynamics without Labeled Data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106182403&doi=10.1061%2f%28ASCE%29EM.1943-7889.0001947&partnerID=40&md5=e7776bddf0178f579be9b5f3d3192ae9"
"Towards Physics-informed Deep Learning for Turbulent Flow Prediction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090417966&doi=10.1145%2f3394486.3403198&partnerID=40&md5=95c18d5a91ed93ae162be57b27b42e08"
"DeepXDE: A deep learning library for solving differential equations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101326762&doi=10.1137%2f19M1274067&partnerID=40&md5=59abe74bfebd6d62b767ac72e487ca5a"
"Understanding and mitigating gradient flow pathologies in physics-informed neural networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115276784&doi=10.1137%2f20M1318043&partnerID=40&md5=73b88b5e7af06726097ad667d6df6194"
